2015,19801,21840,37482,4699,42288
2014,22642,22083,40034,5382,45597
2013,22919,18607,37431,4754,42321
2012,24889,17448,38136,5065,43345
2011,24911,14590,34985,5316,40496
2010,23419,10814,29669,5304,35177
2009,24805,8768,28406,6035,34640
2008,24805,8768,24406,6035,34640
2007,24237,4361,21745,7581,29915
2006,26243,2180,16516,9880,29868
2005,35656,2034,19289,14157,39284
2004,34740,1239,17645,15854,37466
